condition,steer_category,steer_direction,alpha,signed_alpha,task_id,trace_id,seed,n_sentences,completed,truncated,thinking_text_len,transition_entropy,judge_n,judge_accept_rate,judge_reject_rate,judge_uncertain_rate,prop_ORIENT,prop_DESCRIBE,prop_SYNTHESIZE,prop_HYPO,prop_TEST,prop_JUDGE,prop_PLAN,prop_MONITOR,prop_RULE,count_ORIENT,count_DESCRIBE,count_SYNTHESIZE,count_HYPO,count_TEST,count_JUDGE,count_PLAN,count_MONITOR,count_RULE,last_rule_sentence,answer_text
baseline,,,0.0,0.0,2,1,2801,332,False,True,14215,2.489601331593012,36,0.0,0.8611111111111112,0.1388888888888889,0.009036144578313253,0.06626506024096386,0.009036144578313253,0.10843373493975904,0.677710843373494,0.10843373493975904,0.015060240963855422,0.006024096385542169,0.0,3,22,3,36,225,36,5,2,0,,
baseline,,,0.0,0.0,2,2,2802,62,True,False,5337,3.6881666409813327,4,0.25,0.25,0.5,0.04838709677419355,0.0967741935483871,0.04838709677419355,0.11290322580645161,0.5161290322580645,0.06451612903225806,0.04838709677419355,0.03225806451612903,0.03225806451612903,3,6,3,7,32,4,3,2,2,"If they are arranged in clusters or in any other configuration, they are not starred.","The hidden rule is that a panel is marked with a yellow star if its cones are arranged in a linear sequence, each connected end-to-end in a single, unbroken chain from left to right. Non-starred panels have cones arranged in clusters or other configurations, such as overlapping or branching structures.

**Answer:** The panels with yellow stars have their cones arranged in a linear chain, each connected end-to-end in a single, unbroken sequence from left to right.<｜end▁of▁sentence｜>"
baseline,,,0.0,0.0,2,3,2803,245,True,False,13333,3.133247221832158,26,0.0,0.9230769230769231,0.07692307692307693,0.012244897959183673,0.15510204081632653,0.04081632653061224,0.16326530612244897,0.4897959183673469,0.10612244897959183,0.02040816326530612,0.0,0.012244897959183673,3,38,10,40,120,26,5,0,3,"So, after considering all these, I think the hidden rule is that the starred panels (A, B, E) have cones arranged in a linear chain where each cone is placed to the right of the previous one, forming a straight line, each resting on the next, while the non-starred panels have cones arranged in clusters with overlapping or nested structures.","The hidden rule is that the panels with yellow stars (A, B, and E) have their cones arranged in a linear chain from left to right, each resting on the next one, forming a straight line across the panel. The non-starred panels (C, D, and F) have their cones arranged in clusters with overlapping or nested structures.

**Answer:** The panels with yellow stars have their cones arranged in a straight linear chain, each resting on the next, forming a single path from left to right. The non-starred panels have their cones arranged in clusters with overlapping or nested structures.<｜end▁of▁sentence｜>"
baseline,,,0.0,0.0,2,4,2804,266,False,True,16417,3.5464305386490325,40,0.0,0.675,0.325,0.011278195488721804,0.05639097744360902,0.0037593984962406013,0.22180451127819548,0.5037593984962406,0.15037593984962405,0.02631578947368421,0.02631578947368421,0.0,3,15,1,59,134,40,7,7,0,,
baseline,,,0.0,0.0,2,5,2805,107,True,False,8381,3.7329932722936707,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.037383177570093455,0.27102803738317754,0.09345794392523364,0.09345794392523364,0.3364485981308411,0.056074766355140186,0.102803738317757,0.0,0.009345794392523364,4,29,10,10,36,6,11,0,1,"So, my best guess is that the hidden rule is: ""Panels with a yellow star have all their cones arranged in a single connected cluster, while panels without a yellow star have their cones arranged in two or more disconnected clusters.""","The hidden rule is that the panels with a yellow star have all their cones arranged in a single connected cluster, whereas the non-starred panels have their cones arranged in two or more disconnected clusters.<｜end▁of▁sentence｜>"
baseline,,,0.0,0.0,2,6,2806,270,False,True,16217,2.9607788884966615,45,0.0,0.7333333333333333,0.26666666666666666,0.007407407407407408,0.05925925925925926,0.011111111111111112,0.2037037037037037,0.5222222222222223,0.16666666666666666,0.025925925925925925,0.003703703703703704,0.0,2,16,3,55,141,45,7,1,0,,
baseline,,,0.0,0.0,2,7,2807,187,True,False,10858,3.0717412346717734,13,0.0,0.8461538461538461,0.15384615384615385,0.016042780748663103,0.0374331550802139,0.0106951871657754,0.15508021390374332,0.6203208556149733,0.06951871657754011,0.058823529411764705,0.026737967914438502,0.0053475935828877,3,7,2,29,116,13,11,5,1,"So my best guess is that the hidden rule is that the panels with the yellow star have a single linear chain of five cones from left to right, each only connected to the next, forming a straight line.","The hidden rule is that the panels with a yellow star have a single linear arrangement of five cones in a straight line from left to right, each only connected to the next one, forming a straight chain. The non-starred panels have more complex arrangements, such as two clusters or a hub-and-spoke structure.

**Answer:** The panels with the yellow star have a single linear chain of five cones arranged in a straight line from left to right, each only connected to the next one, forming a straight chain.<｜end▁of▁sentence｜>"
baseline,,,0.0,0.0,2,8,2808,156,True,False,12560,3.657168970202977,21,0.14285714285714285,0.6666666666666666,0.19047619047619047,0.019230769230769232,0.057692307692307696,0.02564102564102564,0.20512820512820512,0.48717948717948717,0.1346153846153846,0.03205128205128205,0.02564102564102564,0.01282051282051282,3,9,4,32,76,21,5,4,2,"Therefore, the best guess is that the hidden rule is that the arrangement must form a continuous linear chain where each cone is connected to the next in the specified order, forming a path from left to right without any breaks or overlaps except where necessary for the cluster.","The hidden rule that distinguishes the starred panels (A, B, E) is that their cones are arranged in a continuous linear chain where each cone is connected to the next in the specified order, forming a path from left to right without any breaks or overlaps except where necessary for the cluster. This creates a specific sequence that the non-starred panels do not follow.

**Answer:** The hidden rule is that the cones on the starred panels (A, B, and E) are arranged in a continuous linear chain, each connected to the next in sequence, forming a path from left to right without breaks or overlaps, except for necessary clusters.<｜end▁of▁sentence｜>"
baseline,,,0.0,0.0,2,9,2809,342,False,True,14224,2.4376778686473948,32,0.0,0.78125,0.21875,0.005847953216374269,0.1023391812865497,0.0,0.09649122807017543,0.6666666666666666,0.0935672514619883,0.02046783625730994,0.014619883040935672,0.0,2,35,0,33,228,32,7,5,0,,
baseline,,,0.0,0.0,2,10,2810,198,True,False,11007,3.0386194686781867,10,0.2,0.2,0.6,0.015151515151515152,0.19696969696969696,0.005050505050505051,0.10101010101010101,0.5505050505050505,0.050505050505050504,0.06060606060606061,0.015151515151515152,0.005050505050505051,3,39,1,20,109,10,12,3,1,"Therefore, the hidden rule is that panels with four resting contacts between cones have yellow stars.","The hidden rule is that a panel has a yellow star if the number of resting contacts (where one cone rests on another) among its cones is four. If there are three or fewer resting contacts, it does not have a star.

**Answer:** Panels with four resting contacts among their cones have a yellow star.<｜end▁of▁sentence｜>"
baseline,,,0.0,0.0,3,1,3801,241,False,True,14848,3.386213305592229,15,0.0,0.6,0.4,0.012448132780082987,0.17427385892116182,0.012448132780082987,0.11203319502074689,0.5394190871369294,0.06224066390041494,0.04979253112033195,0.03734439834024896,0.0,3,42,3,27,130,15,12,9,0,,
baseline,,,0.0,0.0,3,2,3802,260,True,True,15034,3.217503176976429,30,0.1,0.6333333333333333,0.26666666666666666,0.011538461538461539,0.05384615384615385,0.0038461538461538464,0.15384615384615385,0.5807692307692308,0.11538461538461539,0.046153846153846156,0.026923076923076925,0.007692307692307693,3,14,1,40,151,30,12,7,2,"So, the best guess is that the rule is about the position of the first and last cones being on opposite ends in the starred panels, whereas in the unstarred, they are on the same side.","The hidden rule that distinguishes the starred panels (A, C, F) from the unstarred (B, D, E) is that in the starred panels, the first and last cones are positioned on opposite ends"
baseline,,,0.0,0.0,3,3,3803,262,False,True,15209,2.4114817039240455,11,0.0,0.7272727272727273,0.2727272727272727,0.007633587786259542,0.16793893129770993,0.0,0.1183206106870229,0.6297709923664122,0.04198473282442748,0.030534351145038167,0.003816793893129771,0.0,2,44,0,31,165,11,8,1,0,,
baseline,,,0.0,0.0,3,4,3804,253,False,True,16287,3.146313699425209,32,0.0,0.875,0.125,0.015810276679841896,0.007905138339920948,0.003952569169960474,0.17786561264822134,0.5928853754940712,0.12648221343873517,0.04743083003952569,0.02766798418972332,0.0,4,2,1,45,150,32,12,7,0,,
baseline,,,0.0,0.0,3,5,3805,243,False,True,14094,2.845132308258948,25,0.0,0.56,0.44,0.00823045267489712,0.04526748971193416,0.0,0.09465020576131687,0.6666666666666666,0.102880658436214,0.07407407407407407,0.00823045267489712,0.0,2,11,0,23,162,25,18,2,0,,
baseline,,,0.0,0.0,3,6,3806,238,False,True,13441,2.894303238469719,19,0.21052631578947367,0.631578947368421,0.15789473684210525,0.012605042016806723,0.03361344537815126,0.0,0.11764705882352941,0.6890756302521008,0.07983193277310924,0.03361344537815126,0.029411764705882353,0.004201680672268907,3,8,0,28,164,19,8,7,1,"So, the rule could be: If the number of color transitions between consecutive cones is even, the panel has a yellow star; if odd, it doesn't.",
baseline,,,0.0,0.0,3,7,3807,252,False,True,13757,3.1669699582183704,18,0.0,0.7222222222222222,0.2777777777777778,0.007936507936507936,0.07539682539682539,0.011904761904761904,0.11507936507936507,0.6190476190476191,0.07142857142857142,0.05952380952380952,0.03968253968253968,0.0,2,19,3,29,156,18,15,10,0,,
baseline,,,0.0,0.0,3,8,3808,276,False,True,14815,3.087533920328542,27,0.0,0.9629629629629629,0.037037037037037035,0.007246376811594203,0.12681159420289856,0.0036231884057971015,0.15217391304347827,0.5579710144927537,0.09782608695652174,0.043478260869565216,0.010869565217391304,0.0,2,35,1,42,154,27,12,3,0,,
baseline,,,0.0,0.0,3,9,3809,102,True,False,9173,3.0874528187428436,4,0.25,0.5,0.25,0.029411764705882353,0.0196078431372549,0.0,0.13725490196078433,0.6274509803921569,0.0392156862745098,0.0784313725490196,0.0392156862745098,0.029411764705882353,3,2,0,14,64,4,8,4,3,"""

So the best guess is: ""All panels with stars have every cone either on the floor or on a side with a corner raised; those without stars have at least one cone stacked on another.""","The hidden rule is that a panel is starred if every cone is either resting on the floor or positioned on a side with a corner raised. If any cone is stacked on another, the panel is not starred.

**Answer:** A panel is starred if all its cones are either on the floor or on a side with a corner raised; otherwise, it is not starred.<｜end▁of▁sentence｜>"
baseline,,,0.0,0.0,3,10,3810,227,True,False,12847,3.510129248224707,24,0.041666666666666664,0.75,0.20833333333333334,0.01762114537444934,0.04405286343612335,0.013215859030837005,0.21145374449339208,0.5242290748898678,0.10572687224669604,0.05286343612334802,0.02643171806167401,0.004405286343612335,4,10,3,48,119,24,12,6,1,"So, after analyzing all the panels, I think the hidden rule is that the star panels have at least one pair of cones where one is resting on another, creating a mutual support structure, while the non-star panels do not have such mutual support.","The hidden rule is that the starred panels (A, C, F) each contain at least one pair of cones where one cone is resting on another, forming a mutual support structure. The non-starred panels (B, D, E) do not have such mutual support pairs. Therefore, the best guess is:

**Answer:** The star panels have at least one pair of cones where one is resting on another, forming a mutual support structure, while the non-star panels do not.<｜end▁of▁sentence｜>"
baseline,,,0.0,0.0,4,1,4801,208,True,False,12858,3.39549084803406,20,0.15,0.8,0.05,0.014423076923076924,0.03365384615384615,0.0,0.15384615384615385,0.5865384615384616,0.09615384615384616,0.04807692307692308,0.057692307692307696,0.009615384615384616,3,7,0,32,122,20,10,12,2,"Panels without stars do not have such a strict color distribution.""","The hidden rule is that each panel with a yellow star has exactly three cones of one color, while the other two colors appear exactly twice each. Panels without stars do not have such a strict color distribution.

**Answer:** The hidden rule is that each panel with a yellow star has exactly three cones of one color, while the other two colors appear exactly twice each. Panels without stars do not have such a strict color distribution.<｜end▁of▁sentence｜>"
baseline,,,0.0,0.0,4,2,4802,90,True,False,6319,3.5653318206102416,8,0.125,0.75,0.125,0.03333333333333333,0.2,0.011111111111111112,0.16666666666666666,0.4444444444444444,0.08888888888888889,0.03333333333333333,0.011111111111111112,0.011111111111111112,3,18,1,15,40,8,3,1,1,"So, putting it all together, I think the hidden rule is that a panel is starred if the first two cones are arranged in a supporting or interacting position, creating a kind of hierarchical structure, while non-starred panels have the first two cones either both upright or both lying without such interaction.","The hidden rule that distinguishes the starred panels (A, C, F) from the unstarred ones (B, D, E) is that the first two cones in the starred panels are arranged in a supporting or interacting position, typically one on top of the other or leaning against each other, forming a hierarchical structure. In contrast, the unstarred panels do not have this kind of interaction between their first two cones.

**Answer:** The panels with yellow stars are those where the first two cones are arranged in a supporting or interacting position, forming a hierarchical structure.<｜end▁of▁sentence｜>"
baseline,,,0.0,0.0,4,3,4803,72,True,False,3907,2.3378715654319735,1,0.0,0.0,1.0,0.013888888888888888,0.7222222222222222,0.06944444444444445,0.013888888888888888,0.1111111111111111,0.013888888888888888,0.027777777777777776,0.0,0.027777777777777776,1,52,5,1,8,1,2,0,2,"Otherwise, it's unstarred.","The hidden rule is that a panel is starred if its cones form a nested or overlapping chain structure, where each cone either rests on or overlaps with another, creating a tree-like arrangement. If the cones are arranged in a linear chain without nesting or overlapping, the panel is unstarred.

**Answer:** Panels A, C, and F are starred because their cones form a nested or overlapping chain structure, while panels B, D, and E have a linear arrangement without nesting or overlapping.<｜end▁of▁sentence｜>"
baseline,,,0.0,0.0,4,4,4804,123,True,False,6646,3.4138470712897337,12,0.25,0.5833333333333334,0.16666666666666666,0.04065040650406504,0.04065040650406504,0.0,0.11382113821138211,0.5691056910569106,0.0975609756097561,0.08130081300813008,0.04878048780487805,0.008130081300813009,5,5,0,14,70,12,10,6,1,"So the hidden rule is that the starred panels have exactly two cones stacked, while the non-starred have none.","The hidden rule that distinguishes the starred panels (A, C, F) from the unstarred (B, D, E) is that the starred panels have exactly two cones stacked on top of each other, while the unstarred panels have no cones stacked.

**Answer:** The hidden rule is that the starred panels (A, C, F) each have exactly two cones stacked on top of each other, whereas the unstarred panels (B, D, E) have no cones stacked.<｜end▁of▁sentence｜>"
baseline,,,0.0,0.0,4,5,4805,315,False,True,12874,2.297886031247389,31,0.0,0.8387096774193549,0.16129032258064516,0.009523809523809525,0.009523809523809525,0.0,0.09841269841269841,0.7365079365079366,0.09841269841269841,0.01904761904761905,0.02857142857142857,0.0,3,3,0,31,232,31,6,9,0,,
baseline,,,0.0,0.0,4,6,4806,270,False,True,14093,2.291864274591888,17,0.0,0.7647058823529411,0.23529411764705882,0.007407407407407408,0.02962962962962963,0.011111111111111112,0.08518518518518518,0.7518518518518519,0.06296296296296296,0.037037037037037035,0.014814814814814815,0.0,2,8,3,23,203,17,10,4,0,,
baseline,,,0.0,0.0,4,7,4807,201,False,True,15403,3.558167018180314,17,0.058823529411764705,0.8235294117647058,0.11764705882352941,0.014925373134328358,0.1044776119402985,0.03482587064676617,0.1791044776119403,0.5223880597014925,0.0845771144278607,0.03482587064676617,0.014925373134328358,0.009950248756218905,3,21,7,36,105,17,7,3,2,"If there are multiple separate clusters or interactions, it doesn't have a star.",
baseline,,,0.0,0.0,4,8,4808,345,False,True,15637,3.133762929335123,61,0.0,0.7868852459016393,0.21311475409836064,0.008695652173913044,0.002898550724637681,0.0,0.21159420289855072,0.518840579710145,0.17681159420289855,0.02318840579710145,0.057971014492753624,0.0,3,1,0,73,179,61,8,20,0,,
baseline,,,0.0,0.0,4,9,4809,227,False,True,14609,3.418555197202408,13,0.0,0.8461538461538461,0.15384615384615385,0.00881057268722467,0.2422907488986784,0.03524229074889868,0.11894273127753303,0.4581497797356828,0.05726872246696035,0.04405286343612335,0.03524229074889868,0.0,2,55,8,27,104,13,10,8,0,,
baseline,,,0.0,0.0,4,10,4810,156,True,False,7511,2.917833820138067,18,0.16666666666666666,0.7222222222222222,0.1111111111111111,0.02564102564102564,0.019230769230769232,0.0,0.14743589743589744,0.6282051282051282,0.11538461538461539,0.04487179487179487,0.00641025641025641,0.01282051282051282,4,3,0,23,98,18,7,1,2,So the hidden rule is that the panels with yellow stars have exactly two lying cones.,"The hidden rule is that the panels with yellow stars (A, C, F) each have exactly two cones that are lying (either right or left 90 degrees). The non-starred panels (B, D, E) have fewer than two lying cones, either one or none.

**Answer:** The panels with yellow stars have exactly two lying cones, while those without a star have one or none.<｜end▁of▁sentence｜>"
HYPO_pos_0.5,HYPO,pos,0.5,0.5,1,1,1801,71,True,False,4351,3.7760674783597437,5,0.6,0.2,0.2,0.014084507042253521,0.2112676056338028,0.014084507042253521,0.1267605633802817,0.352112676056338,0.07042253521126761,0.15492957746478872,0.028169014084507043,0.028169014084507043,1,15,1,9,25,5,11,2,2,"If all cones are non-Red, then it's not starred.","The hidden rule is: A panel is marked with a yellow star if it contains at least one cone that is Red. If all cones are non-Red, the panel does not have a star.<｜end▁of▁sentence｜>"
HYPO_pos_0.5,HYPO,pos,0.5,0.5,1,2,1802,263,False,True,15141,3.0845424516121382,23,0.043478260869565216,0.8260869565217391,0.13043478260869565,0.0038022813688212928,0.06463878326996197,0.0,0.16730038022813687,0.5931558935361216,0.08745247148288973,0.053231939163498096,0.030418250950570342,0.0,1,17,0,44,156,23,14,8,0,,
HYPO_pos_0.5,HYPO,pos,0.5,0.5,1,3,1803,379,False,True,14188,2.870573206765548,45,0.06666666666666667,0.6444444444444445,0.28888888888888886,0.002638522427440633,0.023746701846965697,0.002638522427440633,0.16358839050131926,0.6358839050131926,0.11873350923482849,0.029023746701846966,0.023746701846965697,0.0,1,9,1,62,241,45,11,9,0,,
HYPO_pos_0.5,HYPO,pos,0.5,0.5,1,4,1804,263,True,False,10964,3.0751696552158934,16,0.375,0.3125,0.3125,0.0076045627376425855,0.18631178707224336,0.015209125475285171,0.09885931558935361,0.5475285171102662,0.060836501901140684,0.034220532319391636,0.03802281368821293,0.011406844106463879,2,49,4,26,144,16,9,10,3,I think that's the best guess.,"The hidden rule is that a panel is marked with a yellow star if it contains both Red and Blue cones. If it only has Green and/or Blue cones, it is not marked with a star.

**Answer:** Panels with both Red and Blue cones are marked with a yellow star.<｜end▁of▁sentence｜>"
HYPO_pos_0.5,HYPO,pos,0.5,0.5,1,5,1805,176,True,False,8681,3.380337087294691,25,0.16,0.68,0.16,0.011363636363636364,0.056818181818181816,0.0,0.13636363636363635,0.5681818181818182,0.14204545454545456,0.045454545454545456,0.03409090909090909,0.005681818181818182,2,10,0,24,100,25,8,6,1,So the hidden rule is that a panel is marked with a yellow star if and only if it has three different colors in its cone arrangements.,"The hidden rule is that a panel is marked with a yellow star if it features three distinct colors in its cone arrangements. Panels A, E, and F each have three distinct colors (Red, Green, Blue), while panels B, C, D only have two distinct colors, hence they are not starred.

**Answer:** The hidden rule is that a panel is starred if it contains three distinct colors. Thus, panels A, E, and F are starred, while B, C, and D are not.<｜end▁of▁sentence｜>"
HYPO_pos_0.5,HYPO,pos,0.5,0.5,1,6,1806,279,False,True,13545,3.2971304484561386,25,0.16,0.52,0.32,0.007168458781362007,0.12186379928315412,0.0,0.13978494623655913,0.5412186379928315,0.08960573476702509,0.06093189964157706,0.03942652329749104,0.0,2,34,0,39,151,25,17,11,0,,
HYPO_pos_0.5,HYPO,pos,0.5,0.5,1,7,1807,181,True,False,6370,2.572660314471879,11,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.0055248618784530384,0.049723756906077346,0.0,0.08287292817679558,0.712707182320442,0.06077348066298342,0.04419889502762431,0.03314917127071823,0.011049723756906077,1,9,0,15,129,11,8,6,2,"So, my best guess is that the hidden rule is: Panels with three different colors of cones are starred, while those with one or two are not.","The hidden rule is that a panel is starred if it uses three different colors of cones. If it uses only one or two colors, it is unstarred.

**Answer:** The panels are starred if they use three different colors; otherwise, they are unstarred.<｜end▁of▁sentence｜>"
HYPO_pos_0.5,HYPO,pos,0.5,0.5,1,8,1808,79,True,False,5093,4.37761688568512,8,0.25,0.5,0.25,0.06329113924050633,0.13924050632911392,0.0379746835443038,0.1518987341772152,0.3037974683544304,0.10126582278481013,0.08860759493670886,0.10126582278481013,0.012658227848101266,5,11,3,12,24,8,7,8,1,"So, my best guess is that the hidden rule is: ""A panel is starred if it contains at least one cone of the color Red.""",The hidden rule is that a panel is starred if it contains at least one cone of the color Red.<｜end▁of▁sentence｜>
HYPO_pos_0.5,HYPO,pos,0.5,0.5,1,9,1809,224,False,True,14370,2.9909960588898574,15,0.0,0.8,0.2,0.013392857142857142,0.026785714285714284,0.03571428571428571,0.14285714285714285,0.65625,0.06696428571428571,0.022321428571428572,0.03571428571428571,0.0,3,6,8,32,147,15,5,8,0,,
HYPO_pos_0.5,HYPO,pos,0.5,0.5,1,10,1810,310,False,True,13700,2.9996126467235227,28,0.0,0.9285714285714286,0.07142857142857142,0.00967741935483871,0.04516129032258064,0.0,0.17419354838709677,0.6193548387096774,0.09032258064516129,0.03225806451612903,0.02903225806451613,0.0,3,14,0,54,192,28,10,9,0,,
HYPO_pos_0.5,HYPO,pos,0.5,0.5,2,1,2801,263,False,True,17401,2.912154163106559,57,0.017543859649122806,0.8421052631578947,0.14035087719298245,0.0038022813688212928,0.034220532319391636,0.0,0.26996197718631176,0.45627376425855515,0.21673003802281368,0.015209125475285171,0.0038022813688212928,0.0,1,9,0,71,120,57,4,1,0,,
